T04n0192_p0001a01_##<mj>
T04n0192_p0001a02N##No. 192
T04n0192_p0001a03J##[01]佛所行讚卷第一[02](亦云佛本行經)
T04n0192_p0001a04_##
T04n0192_p0001a05A##[03]馬鳴菩薩[04]造
T04n0192_p0001a06Y##北涼天竺三藏曇無讖譯
T04n0192_p0001a07D##[05]生品第一
T04n0192_p0001a08S##　甘蔗之苗裔，　　釋迦無勝王，
T04n0202_p0354c11_##可畏，劇汝甚多。」海神放之，隱形而去。船進
T04n0202_p0354c12_##數里，海神復更化作一人，形體痟瘦，筋骨相
T04n0202_p0354c13_##連，復來牽船，問諸人[16]曰：「世間羸瘦，有劇
T04n0202_p0354c14_##我者無？」賢者答言：「[17]更有羸瘦甚劇於汝。」
T04n0202_p0354c15_##海神復問：「誰復劇耶？」賢者答曰：「有愚癡人，
T04n0202_p0354c16_##心性弊惡，慳貪嫉[女*石]，不知布施，死墮餓鬼，
T04n0202_p0354c17_##身大如山，咽如針鼻，頭髮長亂，形體黑瘦，
T04n0202_p0354c18_##數千萬歲，不識水穀。如是之形，復劇於
T04n0202_p0354c19_##汝。」海神放船，沒而不現。船行數里，海神復
T04n0202_p0354c20_##[18]化更作一人，極為端[＊]政，復來牽船，問諸商
T04n0202_p0354c21_##[19]客：「人之美妙，有與我等者無？」賢者答曰：
T04n0202_p0354c22_##「乃有勝汝百千萬倍。」海神復問：「誰為勝者？」
T04n0202_p0354c23_##賢者答曰：「世有智人，奉行諸善，身口意業
T04n0202_p0354c24_##恒令清淨，信敬三寶隨時供養，其人命終，
T04n0202_p0354c25_##生於天上，形貌[20]皎潔，端[＊]政無雙，殊勝於
T04n0202_p0354c26_##汝數千萬倍。以汝方之，如瞎獼猴比彼妙
T04n0202_p0354c27_##女。」海神取水一掬，而問之曰：「掬中水多海
T04n0202_p0354c28_##水多耶？」賢者答曰：「掬中水多，非海[21]水也。」
T04n0202_p0354c29_##海神重問：「汝今所說，為至誠不？」賢者答曰：
T04n0202_p0355a01_##「此言真諦，不虛妄也。何以明之？海水雖多，
T04n0202_p0355a02_##必有枯竭。劫欲盡時，兩日[立*立]出，泉源池流，
T04n0202_p0355a03_##悉皆旱涸；三日出時，諸小河水，悉皆枯乾；
T04n0202_p0355a04_##四日出時，諸大江海，悉皆[01]枯竭；五日出時，
T04n0202_p0355a05_##大海稍減；六日出時，三分減二；七日出時，
T04n0202_p0355a06_##海水都盡，須彌崩壞，下至金剛地際皆悉
T04n0202_p0355a07_##[02]燋燃。若復有人，能以信心，以一掬水，供養
T04n0202_p0355a08_##於佛，或用施僧，或奉父母，或[曷-曰]貧窮，給與
T04n0202_p0355a09_##禽獸，此之功德，歷劫不盡。以此言之，知海
T04n0202_p0355a10_##為少，掬水為多。」海神歡喜，即以珍寶，用贈
T04n0202_p0355a11_##賢者，[03]兼寄妙寶施佛及僧。時諸賈客，即
T04n0202_p0355a12_##與賢者，採寶已足，還歸本國。是時賢者，五
T04n0202_p0355a13_##百賈客，咸詣佛所，稽首佛足，作禮畢已，各
T04n0202_p0355a14_##持寶物并海神所寄，奉佛及僧，悉皆長跪
T04n0202_p0355a15_##叉手白佛：「願為弟子，稟受清化。」佛尋可之。
T04n0202_p0355a16_##「善來比丘！」鬚髮自落，法衣在身。佛為說法，
T04n0202_p0355a17_##應適其情，即時開悟，諸欲都淨，得阿羅漢。
T04n0202_p0355a18_##<p>時諸會者，聞佛所說，皆大歡喜，頂戴奉行。
T04n0202_p0355a19D##（六）恒伽達[＊]品[＊]第六
T04n0202_p0355a20P##如是我聞：<p>一時佛在羅閱祇竹園精舍。是時
T04n0202_p0355a21_##國中有一輔相，其家大富，然無兒子。時恒
T04n0202_p0355a22_##河邊，有摩尼跋羅天祠，合土人民，皆悉敬
T04n0202_p0355a23_##奉。時此輔相，往詣祠所，而禱之言：「我無子
T04n0202_p0355a24_##息，承聞天神，功德無量，救護群生，能與其
T04n0202_p0355a25_##願，今故自歸。若蒙所願，願賜一子，當以金
T04n0202_p0355a26_##銀校飾天身，及以名香塗治神室；如其無
T04n0202_p0355a27_##驗，當壞汝廟屎塗汝身。」天神聞已，自思惟
T04n0202_p0355a28_##言：「此人豪富，力勢強盛，非是凡品，得為其
T04n0202_p0355a29_##子。我德[甚*少]少，不能與願。願若不果，必見
T04n0202_p0355b01_##毀辱。」廟神[04]便復往白摩尼跋羅。摩尼跋羅
T04n0202_p0355b02_##其力不辦，自詣毘沙門王啟白此事。毘沙
T04n0202_p0355b03_##門言：「亦非我力能使有子，當詣天帝從
T04n0202_p0355b04_##求斯願。」毘沙門王即時上天啟帝釋曰：「我
T04n0202_p0355b05_##有一臣摩尼跋羅，近日見語云：『王舍城有
T04n0202_p0355b06_##一輔相，從其求子，結立重誓，若願得遂，倍
T04n0202_p0355b07_##加供養，所願若違，當破我廟而毀辱之。』彼
T04n0202_p0355b08_##人豪兇，必能如是，幸望天王，令其有子。」帝
T04n0202_p0355b09_##釋答曰：「斯事至難，當覓因緣。」時有一天，五德
T04n0202_p0355b10_##離身，臨命欲盡，帝釋告曰：「卿[05]命垂終，可
T04n0202_p0355b11_##願生彼輔相之家？」天子答言：「意欲出家奉
T04n0202_p0355b12_##修正行，若生尊榮，離俗則難，欲在中流[06]
T04n0202_p0355b13_##莫遂所志。」帝釋復曰：「但往生彼，若欲學道，
T04n0202_p0355b14_##吾當相佐。」天子命終，降神受胎輔相之家。
T04n0202_p0355b15_##即[07]生出外，形貌端[＊]政，即召相師，為其立
T04n0202_p0355b16_##字。相師問曰：「本於何處求得此兒？」輔相答
T04n0202_p0355b17_##[08]言：「昔從恒河天神求之。」因為作字，為恒
T04n0202_p0355b18_##伽達。年漸長大，志在道法，便啟父母，求索
T04n0202_p0355b19_##出家。父母告曰：「吾今富貴，產業弘廣，唯汝一
T04n0202_p0355b20_##子，當嗣門戶。[09]遣吾存活，終不相聽。」兒不
T04n0202_p0355b21_##從志深自惆悵，便欲捨身更求凡處，於中
T04n0202_p0355b22_##求出，必極易也。於是密去，自墜高巖；既墮
T04n0202_p0355b23_##在地，無所傷損。復至河邊，投身水中；水還
T04n0202_p0355b24_##漂出，亦無所苦。復取毒藥，而吞噉之；毒氣
T04n0202_p0355b25_##不行，無由致死。復作是念：「當犯官法為
T04n0202_p0355b26_##王所殺。」值王夫人及諸[10]婇女，出宮到園池
T04n0202_p0355b27_##中洗浴，皆脫衣服，置林樹間。時恒伽達密
T04n0202_p0355b28_##入林中，取其服飾抱持而出。門監見[11]之，
T04n0202_p0355b29_##將往白阿闍世王。王聞此事，瞋恚隆盛，便
T04n0202_p0355c01_##取弓箭，自手射之，而箭還[12]反，正向王身；
T04n0202_p0355c02_##如是至三，不能使中。王怖投弓，問彼人
T04n0202_p0355c03_##言：「卿[13]是天龍鬼神乎？」恒伽達言：「賜我一
T04n0202_p0355c04_##願，乃敢自陳。」王曰：「當與。」恒伽達言：「我非是
T04n0202_p0355c05_##天，亦非龍鬼，是王舍國輔相之兒。我欲出
T04n0202_p0355c06_##家，父母不聽，故欲自殺更生餘處。投巖、赴
T04n0202_p0355c07_##河、飲毒不死，故[14]犯王法，望得危命。王
T04n0202_p0355c08_##今加害，復不能傷，事情如是，何酷之甚！願
T04n0202_p0355c09_##見顧愍聽我為道。」王尋告曰：「聽汝出家
T04n0202_p0355c10_##[15]修學聖道。」因復將之，共到佛所，啟白世
T04n0202_p0355c11_##尊，如向之事。於時如來，聽為沙門，法衣
T04n0202_p0355c12_##在體，便成比丘。佛為說法，心意開暢，成羅
T04n0202_p0355c13_##漢道，三明六通，具八解脫。<p>阿闍世王尋白
T04n0202_p0355c14_##佛言：「此恒伽達者，先世之時，種何善根，投
T04n0202_p0355c15_##山不死，墮水不溺，食毒無苦，箭射無傷，
T04n0202_p0355c16_##加遇聖尊得度生死？」<p>佛告王曰：「乃往過去
T04n0202_p0355c17_##無數世時，有一大國，名波羅[木*奈]，其王名梵
T04n0202_p0355c18_##摩達，將諸宮人，林中遊戲，諸婇女輩，激聲
T04n0202_p0355c19_##而歌。外有一人，高聲和之，王聞其聲，便
T04n0202_p0355c20_##生瞋[女*石]，遣人捕來[束*力]使殺之。時有大臣，
T04n0202_p0355c21_##從外邊來，見此一人，而被囚執，便問左
T04n0202_p0355c22_##右：『何緣乃爾？』其傍諸人，具列事狀。臣曰：『且
T04n0202_p0355c23_##停！待我見王。』大臣進入，啟白王言：『彼人之
T04n0202_p0355c24_##罪，不至深重，何以殺之？雖和其音，而不
T04n0202_p0355c25_##見形，既無交通奸婬之事，幸願垂矜，[曷-曰]其
T04n0202_p0355c26_##生命。』王不能違，赦不刑戮。其人得脫，奉
T04n0202_p0355c27_##事大臣，懃謹無替。如是承給，經歷多年，便
T04n0202_p0355c28_##自思惟：『婬欲傷人，利於刀劍，我[16]今困厄，
T04n0202_p0355c29_##皆由欲故。』即語大臣：『聽我出家遵修道業。』
T04n0202_p0356a01_##大臣答曰：『不敢相違，學若成道，還來相見。』
T04n0202_p0356a02_##即詣山澤，專思妙理，精神開悟，成辟支佛；
T04n0202_p0356a03_##還來城邑，造大臣家。大臣歡喜，請供養之，
T04n0202_p0356a04_##甘[飢-几+善]妙服，四事無乏。時辟支佛，於虛空中，
T04n0202_p0356a05_##現神變化，身出水火，放大光明，大臣見之，
T04n0202_p0356a06_##欣然無量，便立誓願：『由吾恩故，命得全濟，
T04n0202_p0356a07_##使我世世富貴長壽，殊勝奇特，數千萬倍，
T04n0202_p0356a08_##令我智德相與共等。』」佛告王[＊]曰：「時彼大臣，
T04n0202_p0356a09_##救活一人，令得道者，今恒伽達是。由是因
T04n0202_p0356a10_##緣，所生之處，命不中夭，今值我時，逮致應
T04n0202_p0356a11_##真。」<p>佛說此已，諸在會者，信敬歡喜，頂受奉
T04n0202_p0356a12_##行。
T04n0202_p0356a13D##（七）須闍提[＊]品[＊]第七
T04n0202_p0356a14P##如是我聞：<p>一時佛在羅閱祇竹園精舍。爾時
T04n0202_p0356a15_##世尊而與阿難，著衣持[金*本]，入城乞食。時有
T04n0202_p0356a16_##老[01]翁老母，兩目既[02]盲，貧窮孤苦，無止住
T04n0202_p0356a17_##處，止宿門下。唯有一子，年始[03]七歲，常行
T04n0202_p0356a18_##乞[04][曷-曰]以[05]養父母，得好果菜，其美好者，
T04n0202_p0356a19_##供養父母，餘殘酸[澀-(刃*刃)+止]，臭穢惡者，便自食之。
T04n0202_p0356a20_##爾時阿難，見此小兒，雖為年小，恭敬孝順，
T04n0202_p0356a21_##心懷愛念。佛乞食已，還到精舍。爾時世尊
T04n0202_p0356a22_##為諸大眾演說經法，阿難於時長跪叉手，
T04n0202_p0356a23_##前白佛言：「向與世尊，入城分衛，見一小兒，
T04n0202_p0356a24_##慈心孝順，共盲父母，住城門下，東西乞[＊][曷-曰]
T04n0202_p0356a25_##所得之物，飯食菜果，其美好者，先以供養其
T04n0202_p0356a26_##老父母，破敗臭穢極不好者，便自食之。日
T04n0202_p0356a27_##日如是，甚可愛敬。」<p>佛語阿難：「出家在家，慈
T04n0202_p0356a28_##心孝順，供養父母，計其功德，殊勝難量。所
T04n0202_p0356a29_##以者何？我自憶念過去世時，慈心孝順，供
T04n0202_p0356b01_##養父母，乃至身肉濟[06]活父母危急之厄。以
T04n0202_p0356b02_##是功德，上為天帝，下為聖主，乃至成佛三
T04n0202_p0356b03_##界特尊，皆由斯福。」<p>阿難白[07]言：「不審，世尊！
T04n0202_p0356b04_##過去世時，慈孝父母，不惜身命，能以身肉，
T04n0202_p0356b05_##濟救父母危嶮之命，其事云何？」<p>佛告阿難：
T04n0202_p0356b06_##「諦聽善念！我當說之。」<p>阿難：「唯然，當善聽之！」
T04n0202_p0356b07_##<p>佛告阿難：「乃往過去無量無數阿僧祇劫，此
T04n0202_p0356b08_##閻浮提有一大國，名特叉尸利。爾時有王，
T04n0202_p0356b09_##名曰提婆。時彼國王，有十太子，各領諸國，
T04n0202_p0356b10_##最小太子，字修[08]婆羅提致，[09]晉言善住，所
T04n0202_p0356b11_##領國土，人民觀望，最為豐樂。時父王邊，有
T04n0202_p0356b12_##一大臣，名曰羅[目*侯]，每懷兇逆，[10]反殺大王。
T04n0202_p0356b13_##大王已死，攝正為王，即遣兵眾，往詣諸國，
T04n0202_p0356b14_##殺諸太子。此最小者，鬼神所敬，時入園中，
T04n0202_p0356b15_##欲行觀看。有一夜叉，從地而出，長跪白言：
T04n0202_p0356b16_##『羅[目*侯]大臣，[＊]反殺父王，遣諸兵眾，殺汝諸
T04n0202_p0356b17_##兄，今復遣人，欲來殺汝；王可思計避其禍
T04n0202_p0356b18_##難。』時王聞之，心[11]崩惶怖，到於其夜，便
T04n0202_p0356b19_##思計校，而欲突去。時有一兒，字須闍提，
T04n0202_p0356b20_##晉言善生，[12]至年七歲，端正聰黠，甚為可
T04n0202_p0356b21_##愛，其王愛念，出復來還，而抱此兒，悲泣歎
T04n0202_p0356b22_##息。其婦見王入出惶[13]怖，即而問之：『何以
T04n0202_p0356b23_##[匆/心][匆/心]，如恐怖狀？』其夫答[＊]曰：『非卿所知。』婦
T04n0202_p0356b24_##復牽之，『我今與汝，身命共并危嶮相隨，莫
T04n0202_p0356b25_##見捐捨。今有何事，當以告示？』其王答言：
T04n0202_p0356b26_##『我近入園，有夜叉鬼從地而出，長跪[14]白
T04n0202_p0356b27_##我：「羅[目*侯]大臣，今興惡逆，已殺父王，遣諸兵
T04n0202_p0356b28_##眾，殺汝諸兄，今亦遣兵，當來殺王，宜可
T04n0202_p0356b29_##避之。」我聞是語，心懷恐怖，但恐兵眾，如
T04n0202_p0356c01_##是來到，是故急疾，欲得去耳。』其婦長跪，即
T04n0202_p0356c02_##白王言：『願得隨侍，莫見孤棄。』時王即便將
T04n0202_p0356c03_##婦抱兒，相將而去，欲至他國。時有二道，
T04n0202_p0356c04_##一道七日，一道十四日。初發惶懅，唯作七日
T04n0202_p0356c05_##糧調，規俟一人而已，既已出城，其心憒
T04n0202_p0356c06_##[15]亂，乃涉十四日道。已經數日，糧食乏盡，飢
T04n0202_p0356c07_##餓迷荒，無餘方計，憐愛其子，[16]欲殺其婦，
T04n0202_p0356c08_##而欲自濟并用活兒。令婦在前擔兒而行，
T04n0202_p0356c09_##於後拔刀欲殺其婦。時兒[17]迴顧，見父拔
T04n0202_p0356c10_##刀欲殺其母，兒便叉手，曉父王言：『唯願大
T04n0202_p0356c11_##王！寧殺我身，勿害我母。』慇懃諫[18]父，救其
T04n0202_p0356c12_##母命，而語父言：『莫絕殺我，稍割食之，可
T04n0202_p0356c13_##經數日。若斷我命，肉便臭爛，不可經久。』
T04n0202_p0356c14_##於是父母，欲割兒肉，啼哭懊惱，而割食之。
T04n0202_p0356c15_##日日割食，其肉稍盡，唯有骨在，未至他國，
T04n0202_p0356c16_##飢荒遂甚，父復捉刀，於其節解，次第剝之，
T04n0202_p0356c17_##而得少肉。於是父母，臨當棄去，兒自思惟：
T04n0202_p0356c18_##『我命少在，唯願父母，向所有肉，可以少許
T04n0202_p0356c19_##還用見施。』父母不違，即作三分，二分自
T04n0202_p0356c20_##食，餘有一分，并殘肌肉眼舌之等悉以施之。
T04n0202_p0356c21_##於是別去。兒便立願：『我今身肉，供養父母，
T04n0202_p0356c22_##持是功德，用求佛道，普濟十方一切眾生，
T04n0202_p0356c23_##使離眾苦至涅槃樂。』發是願時，三千世界
T04n0202_p0356c24_##六反震動，色欲諸天而皆愕然，不知何故
T04n0202_p0356c25_##宮殿動搖？即以天眼觀於世間，而見菩薩
T04n0202_p0356c26_##以身之肉供養父母，願成佛道，誓度眾
T04n0202_p0356c27_##生，以是之故，天地大動。於是諸天，皆悉來
T04n0202_p0356c28_##下，側塞虛空，悲泣墮淚，猶如盛雨。時天帝
T04n0202_p0356c29_##釋來欲試之，化作乞兒，來從其乞，持手中
T04n0202_p0357a01_##肉，復用施之。即[01]復化作師子虎狼，來欲
T04n0202_p0357a02_##噉之，其兒自念：『此諸禽獸，欲食我者，我身
T04n0202_p0357a03_##餘殘骨肉髓腦，悉以施之。』心生歡喜，無有
T04n0202_p0357a04_##悔恨。爾時天帝，見其執志心不移[02]轉，還
T04n0202_p0357a05_##復釋身，住其兒前，而語之曰：『如汝慈孝，能
T04n0202_p0357a06_##以身肉供養父母；以是功德，用求何等？
T04n0202_p0357a07_##天帝魔王梵天王耶？』兒即答言：『我不願求三
T04n0202_p0357a08_##界快樂，持此功德，用求佛道，願度一切
T04n0202_p0357a09_##無量眾生。』天帝復言：『汝能以身供養父母，
T04n0202_p0357a10_##得[03]無悔恨於父母耶？』其兒答言：『我今至
T04n0202_p0357a11_##誠，供養父母，無有悔恨大如毛髮。』天帝復
T04n0202_p0357a12_##言：『我今視汝，身肉已盡，言不悔恨，是事難
T04n0202_p0357a13_##信。』其兒答言：『若無悔恨，我願當成佛者，
T04n0202_p0357a14_##使我身體平復如故。』言誓已竟，身即平復。
T04n0202_p0357a15_##時天帝釋及餘諸天，異口同音，讚言善哉！其
T04n0202_p0357a16_##兒父母及國中人，皆到兒所，歎未曾有。
T04n0202_p0357a17_##時彼國王，見其太子所作奇特，倍加恭敬，
T04n0202_p0357a18_##歡喜無量，將其父母及其太子，入宮供養，
T04n0202_p0357a19_##極為恭敬，哀此太子。時彼國王，躬將軍馬，
T04n0202_p0357a20_##共善住王及須闍提太子，還至本國，誅滅
T04n0202_p0357a21_##羅[目*侯]，立作[04]本王，父子相繼，其國豐樂，遂致
T04n0202_p0357a22_##太平。」佛語阿難：「爾時善住[05]王者，今現我父
T04n0202_p0357a23_##[06]白淨王是。爾時母者，今現我母摩訶摩耶
T04n0202_p0357a24_##是。爾時須闍提太子者，今我身是。」佛語阿
T04n0202_p0357a25_##難：「由過去世慈心孝順，供養父母，以持身
T04n0202_p0357a26_##肉，濟父母厄，緣是功德，天上人中，常生豪
T04n0202_p0357a27_##尊，受福無量，緣是功德，自致作佛。」<p>爾時眾
T04n0202_p0357a28_##會，聞佛自說宿世本緣，爾時會者皆各悲
T04n0202_p0357a29_##歎，感佛奇特慈孝之行，其中有得須陀洹
T04n0202_p0357b01_##者、斯陀含者、阿那含者、阿羅漢者，有發無
T04n0202_p0357b02_##上正真道者，有住不退地者。一切眾會，皆
T04n0202_p0357b03_##大歡喜，頂戴奉行。
T04n0202_p0357b04j##賢愚[07]經卷第一
T04n0202_p0357b05_##<mj>
T04n0202_p0357b06_##
T04n0202_p0357b07J##賢愚[08]經卷第二
T04n0202_p0357b08_##
T04n0202_p0357b09Y##元魏[09]涼州沙門慧覺[10]等[11]在高昌郡譯
T04n0202_p0357b10D##（八）波斯匿王女金剛[12]品第八
T04n0202_p0357b11P##如是我聞：<p>一時佛在舍衛國祇樹給孤獨園。
T04n0202_p0357b12_##爾時波斯匿王最大夫人，名曰摩利，時生
T04n0202_p0357b13_##一女，字波闍羅，[13]晉言金剛，其女面[14]類極
T04n0202_p0357b14_##為醜惡，肌體麤[澀-(刃*刃)+止]猶如[15]駝皮，頭髮麤強
T04n0202_p0357b15_##猶如馬[16]尾。王觀此女，無一喜心，便[束*力]宮
T04n0202_p0357b16_##內：「懃意守護，勿令外人得見之也。所以者
T04n0202_p0357b17_##何？此女雖醜形不似人，然是[17]末利夫人
T04n0202_p0357b18_##所生，此雖醜惡，當密遣人而護養之。」女
T04n0202_p0357b19_##年轉大，任當嫁處。時王愁憂，無餘方計，便
T04n0202_p0357b20_##告吏臣：「卿往[18]推覓本是豪姓居士種者，今
T04n0202_p0357b21_##若貧乏無錢財者，便可將來。」吏即如教，
T04n0202_p0357b22_##即往推[不/見]，得一貧窮豪姓之子。吏便喚之，將
T04n0202_p0357b23_##至王所。王得此人，共至屏處，具以情狀，
T04n0202_p0357b24_##向彼人說：「我有一女，面狀醜惡，欲[19]覓嫁
T04n0202_p0357b25_##處，未有[20]酬類。聞卿豪族，今者雖貧，當相
T04n0202_p0357b26_##供給，幸卿不逆，當納受之。」時長者子，長跪
T04n0202_p0357b27_##白言：「當奉王[束*力]，正使大王以狗見賜，我亦
T04n0202_p0357b28_##當受，何況大王遺體之女？今設見賜，奉命
T04n0202_p0357b29_##納之。」王即以女，妻彼貧人，為起宮殿，
T04n0202_p0357c01_##舍宅門閤，令有七重。王[束*力]女夫：「自捉戶鑰，
T04n0202_p0357c02_##若欲出行，而自閉之。我女醜惡，世所未有，
T04n0202_p0357c03_##勿令外人[者*見]見面狀；常牢門戶，幽閉在內。」
T04n0202_p0357c04_##王出財貨，一切所須，供給女[土*胥]，使無乏短。
T04n0202_p0357c05_##王即拜授，以為大臣。其人所有財寶饒益，
T04n0202_p0357c06_##與諸豪族共為[21]讌會，月月為更。會同之時，
T04n0202_p0357c07_##夫婦俱詣，男女雜會，共相娛樂。諸人來會，
T04n0202_p0357c08_##悉皆將婦，唯彼大臣，恒常獨詣。眾人疑怪：
T04n0202_p0357c09_##「彼人婦者，儻能[22]端政，暉赫[23]曜絕？或能極
T04n0202_p0357c10_##醜，不可顯現？是以彼人，故不將來。今當設
T04n0202_p0357c11_##計往觀彼婦。」即各同心，密共相語，以酒勸
T04n0202_p0357c12_##之，令其醉臥，解取門鑰，[24]便令五人往
T04n0202_p0357c13_##至其家開其門戶。當於爾時，彼女心惱，自
T04n0202_p0357c14_##責罪咎，而作是言：「我種何罪？為夫所憎，
T04n0202_p0357c15_##恒見幽閉，處在闇室，不[者*見]日月及與眾人。」
T04n0202_p0357c16_##復自念言：「今佛在世，潤益眾生，遭苦厄者，
T04n0202_p0357c17_##皆蒙過度。」即便至心遙禮世尊，「唯願垂愍，
T04n0202_p0357c18_##到於我前，暫見教訓。」其女精誠，敬心純篤。
T04n0202_p0357c19_##佛知其志，即到其家，於其女前，地中踊出，
T04n0202_p0357c20_##現紺髮相，令女見之；其女舉頭，見佛髮
T04n0202_p0357c21_##相，倍加歡喜，歡喜情[25]敬，敬心極深，其女頭
T04n0202_p0357c22_##髮，自然細軟，如紺青色。佛復現面；女得
T04n0202_p0357c23_##見之，見已歡喜，面復端政，惡相麤皮，自然
T04n0202_p0357c24_##化滅。佛復現身，齊腰以上，金色晃昱，令
T04n0202_p0357c25_##女見之；女見佛身，益增歡喜[26]因歡喜故，
T04n0202_p0357c26_##惡相即滅，身體端嚴，猶如天女，奇[27]妙蓋世，
T04n0202_p0357c27_##無能及者。佛愍女故，盡現其身；其女諦察，
T04n0202_p0357c28_##目不曾眴，歡喜踊躍，不能自勝，其女盡身，
T04n0202_p0357c29_##亦皆端政，相好非凡，世之希有，惡相悉滅，
T04n0202_p0358a01_##無有遺餘。佛為說法，即盡諸惡，應時逮
T04n0202_p0358a02_##得須陀洹道。女已得道，佛便滅去。時彼五
T04n0202_p0358a03_##人，開戶入內，見婦端政殊特少雙，自相謂
T04n0202_p0358a04_##言：「我怪此人不將來往，其婦端政，乃至
T04n0202_p0358a05_##如是。」觀[者*見]已竟，還閉門戶，持其[01]戶鑰，還
T04n0202_p0358a06_##彼人所繫著本帶。其人醒悟，會罷至家，入
T04n0202_p0358a07_##門見婦，端政奇妙，容貌挺特，人中難有，見
T04n0202_p0358a08_##已欣然，問是何人？女答夫言：「我是汝婦。」夫
T04n0202_p0358a09_##問婦言：「汝前極醜，今者何緣端政乃爾？」其婦
T04n0202_p0358a10_##具以上事答夫：「我緣[02]佛故，受如是身。」婦
T04n0202_p0358a11_##復白夫：「[03]我今意欲與王相見，汝當為我
T04n0202_p0358a12_##通其意故。」夫受其言，即往白王：「女郎今
T04n0202_p0358a13_##者，欲來相見。」王答女[土*胥]：「勿道此事，急當
T04n0202_p0358a14_##牢閉慎勿令出。」女夫答王：「何以乃爾？女郎
T04n0202_p0358a15_##今者，蒙佛神恩，已得端政，天女無異。」王
T04n0202_p0358a16_##聞是已，答女婿言：「審如是者，速往將來。」即
T04n0202_p0358a17_##時嚴車，迎女入宮，王見女身端政殊特，歡
T04n0202_p0358a18_##喜踊躍，不能自勝，即[束*力]嚴駕，王及夫人、女
T04n0202_p0358a19_##并女夫，共至佛所。禮佛畢訖，[去*ㄗ]住一面，時
T04n0202_p0358a20_##波斯匿王，跪白佛言：「不審此女，宿殖何福，
T04n0202_p0358a21_##乃生豪貴富樂之家？復造何咎，受醜陋形，
T04n0202_p0358a22_##皮毛麤強，劇如畜生？唯願世尊！當見開示。」
T04n0202_p0358a23_##<p>佛[04]告大王：「夫人處世，端政醜陋，皆由宿
T04n0202_p0358a24_##行罪福之報。乃往過去久遠世時，時有大國，
T04n0202_p0358a25_##名波羅[木*奈]，時彼國中，有大長者，財富無量，
T04n0202_p0358a26_##舉家恒共供養一辟支佛，身體麤惡形狀
T04n0202_p0358a27_##醜陋，憔悴叵看。時彼長者，有一小女，日日
T04n0202_p0358a28_##見彼辟支佛來，惡心輕慢，[可>呵]罵毀言：『面貌醜
T04n0202_p0358a29_##陋，身皮麤惡，何其可憎？乃至如是。』時辟支
T04n0202_p0358b01_##佛，數至其家，受其供養，在世經久，欲入
T04n0202_p0358b02_##涅槃，為其檀越，作種種變，飛騰虛空，身出
T04n0202_p0358b03_##水火，東踊西沒，西踊東沒，南踊北沒，北踊南
T04n0202_p0358b04_##沒，坐臥虛空，種種變現，咸使彼家[者*見]見神
T04n0202_p0358b05_##足，即從空下，還至其家。長者見已，倍懷歡
T04n0202_p0358b06_##喜，其女即時悔過自責：『[05]唯願尊者！當見原
T04n0202_p0358b07_##恕，我前惡心，罪釁過厚，幸不在懷，勿令
T04n0202_p0358b08_##有罪[06]也。』時辟支佛聽其懺悔。」佛告大王：
T04n0202_p0358b09_##「爾時女者今王女是。由其爾時惡不善心，毀
T04n0202_p0358b10_##呰賢聖辟支佛故，自造口過，於是以來，常
T04n0202_p0358b11_##受醜形。後見神變，自改悔故，還得端正，英
T04n0202_p0358b12_##才越群，無能及者。由供養辟支佛故，世世
T04n0202_p0358b13_##富貴，緣得解脫。如是大王！一切眾生有形
T04n0202_p0358b14_##之類，應護身口，勿妄為非、輕呵於人。」<p>爾時
T04n0202_p0358b15_##王波斯匿，及諸群臣，一切大眾，聞佛所說因
T04n0202_p0358b16_##緣果報，皆生信敬，自感佛前，以是信心，有
T04n0202_p0358b17_##得初果，至四果者，有發無上平等意者，
T04n0202_p0358b18_##復有得住不退轉者，咸懷渴仰，敬奉佛
T04n0202_p0358b19_##教，歡喜遵承，皆共奉行。
T04n0202_p0358b20D##（九）金財因緣品第九
T04n0202_p0358b21P##如是我聞：<p>一時佛在舍衛國祇樹給孤獨園，
T04n0202_p0358b22_##與尊弟子千二百五十人俱。爾時城中，有
T04n0202_p0358b23_##大長者，長者夫人生一男兒，名曰金財，其
T04n0202_p0358b24_##兒端政殊特，世之少雙。是兒宿世，[07]捲手
T04n0202_p0358b25_##而生，父母驚[08]怪謂之不祥，即披兒兩手，觀
T04n0202_p0358b26_##其相好，見二金錢在兒兩手，父母歡喜，即
T04n0202_p0358b27_##便收取；取已故處續復更生，尋更取之，復生
T04n0202_p0358b28_##如故，如是懃取金錢滿藏，其兒手中，未曾
T04n0202_p0358b29_##有盡。兒年轉大，即白父母，求索出家。父
T04n0202_p0358c01_##母不逆，即便聽之。爾時金財，往至佛所，頭
T04n0202_p0358c02_##面作禮，而白佛言：「唯願世尊！當見憐愍，
T04n0202_p0358c03_##聽我出家，得在道次。」佛告金財：「聽汝出
T04n0202_p0358c04_##家。」蒙佛可已，於時金財，即剃鬚髮，身著
T04n0202_p0358c05_##袈裟，便成沙彌。年已滿足，任受大戒，即
T04n0202_p0358c06_##[09]令眾僧當受具足。臨壇眾僧，次第為禮，
T04n0202_p0358c07_##其作禮時，兩手拍地，當手拍處，有二金錢，
T04n0202_p0358c08_##如是次第，一切為禮，隨所禮處，皆有金錢。
T04n0202_p0358c09_##受戒已竟，精勤修習，得羅漢道。<p>阿難白佛：
